Tanggal,Nama Pengguna,Rating,Reviews Text
6/17/2025 19:12,Kayla sp,5,aku invest ke BCD semoga aja ada rezeki
6/17/2025 18:43,Aditya Pratama,4,verifikasi kode email lama
6/17/2025 18:34,Kendri Arnando,3,"Tolong dong, kalo proses penjualan di harga yang tinggi itu responnya cepet gitu.. Jangan pas beli di harga tinggi aja responnya cepet, giliran mau jual di harga tinggi harus nunggu berjam"",sell di jam sore kadang harus nunggu sampe tengah malem bru di acc, kadang sampe besoknya baru di Acc.. Dibenerin dong"
6/17/2025 18:26,Abdur rahim,5,"saya sedikit menyesal , kenapa menyesal? ya kerena 2018 saya sudah kenal INDODAX Sering buka aplikasi ini untuk cek harga bitcoin saja, dan pada harga 50jt 1 bitcoin seandainya saya beli dapat 1, tapi mulai 2024 saya sudah mulai cicil bitcoin di apk INDODAX, kenapa INDODAX ya karena mudah diakses sangat dianjurkan bagi pemula, dan sudah terbukti bertahun tahun INDODAX yang terbaik.. kalau lupa kata sandi atau yang lainnya pihak INDODAX siap membantunya Tampa kehilangan aset yang sangat berharga"
6/17/2025 17:01,Elang Pemakan Rumput,5,terimakasih indodax mantap terbaik
6/17/2025 15:50,Enimm 89,5,aku belum pernah WD secepat di indodax Goodluck
6/17/2025 15:42,Muhammad Zaky Ramadhan,5,"dari semuanya exchange crypto yang sudah dicoba memang yang pertama itu selalu memikat, dari pilihan aset nya yang banyak, UI nya yang clean dan user experience yang friendly banget, dan juga harga selalu mengikuti market realtime dengan adanya indikator pada chart untuk indodax pro yang memudahkan dalam hal trading harian, terimakasih juga indodax telah mengenalkan exchange crypto di indonesia sebagai yang pertama the real #AsetMasaDepan username indodax: Cybort"
6/17/2025 12:32,Muhammad Ihsan,5,Seneng banget pokonya aku investasi aset kripto HBAR yang asalnya 2 ribuan jadi 2 jutaan
6/17/2025 10:36,Pulalo Jr,5,alhamdulillah pemulaan main cripto di indodax lumaya gampang
6/17/2025 10:18,Abhirahman,1,verifikasi sangat sulit
6/17/2025 9:50,Fahril Iye,1,JANGAN PERNAH DONLOD APK INI UANG SAYA DI DALAM 17 JT HILANGG BEGITU SAJA PAS PERTMATA TUH ENK BGT FI PAKE APK NYA CCOK BGT NNTI SEBULAN KEMUDIAN UDAH HILANG PAS SUDAH MASUK BILNG NYA HARUS LOGIN DLU PADAHL JELAS JELAS SYA SDH LOGIN MENGUNAKAN SEGALAHNY TIBA TIBA MUNCUL AKUN SAYA UDH KE LOG UOT DARI APK NIH UANGG 17 JT SAYA HILANGG TOLONGG JELASKN INI PIHAK INDODAX IDIOT JANGAN PERNAH DONLOD APK IN GUA NULIS SAMPE NANGIS
6/17/2025 8:30,Djnovic channel,1,"makin jelek aja, ganti no HP sulit, mau withdraw tambah sulit"
6/17/2025 7:47,Kresna Pratama,5,"Aplikasi INDODAX #AsetMasaDepan sangat berguna, membantu untuk transaksi crypto. Paling suka pake aplikasi ini daripada yang lain karena fiturnya yang sangat simpel tapi juga lengkap jadi sangat membantu untuk pengguna yang baru nyemplung di dunia crypto @Nairobi"
6/17/2025 7:27,Fiqih Kbm,4,mohon kepada mimin indodax mohon di perbaiki proses pembelian aset sangat lama berbeda dengan ketika kita menjualnya terimakasih
6/17/2025 6:04,Reza Adi,5,"beralih ke exchange sbelah aja, disini gabisa topup pake mandiri sekarang, harus pakai bank2 tertentu, sngat disayangkan skali. semoga lebih baik kedepannya karena persaingan semua cari yg lebih mudah"
6/17/2025 5:59,Ikbal Ikbal,4,"tolong buat penarikan itu bisa ke E-wallet dana/gopay/ovo atau yg lain nya ya next update tolong banget sama developer indodax ini, masak bisa setor/depo bisa pake E-wallet tapi gk bisa pas mau melakukan penarikan. itu aja semoga di baca sama developer nya🙏🏻 untuk saat ini aku kasih bintang🌟🌟🌟🌟 dulu kalau ada update kaya yg aku jelasin tadi di atas baru saya kasih bintang 🌟🌟🌟🌟🌟"
6/17/2025 0:24,Erdy Sutisna,5,"Pertama kali menggunakan indosax, saya langsung terpikat! Aplikasinya super User-frienidy, tampilan antarmuka bersih dan intultif, lengkap dengan real-time market info yang akurat. Fitur chartingnya responsif, pilihan order cepat, dan notifikasi harga sangat membantu saya menangkap peluang. Portofolio saya menjadi mudah dipantau, semoga kedepan ada opsi grafik yang Interaktif dark mode yang lebih lembut dimata. Overall, Indodax benar-benar #AsetMasa Depan yang bisa diandalkan. @tiesto9"
6/17/2025 0:18,Syan Fata,1,proses transaksi nya ga ngotak udh ambil admin mahal lagi emng gila udh indodex ni
6/16/2025 23:46,Betty Mami,1,kesel Ama indodax masa ktutup Mulu mesti pake pasword lah udah gitu pake ga kebuka lagi nyesel naro duit disini sialan
6/16/2025 22:40,Wahyu setiawan,5,aplikasi mudah di mengerti mantul mantap jiwa ayoo menyala💥💥💥 jangan lupa di download aplikasi INDODAX @wahyushubuh531 #Asetmasadepan
