Tanggal,Nama Pengguna,Rating,Reviews Text
6/19/2025,Pengguna Google,5,bagus bangat mudah di pahami
6/19/2025,Pengguna Google,1,"GAK Disarankan transfer dari dompet lain ke PINTU,."" Raib"""
6/19/2025,Pengguna Google,4,lumayan
6/19/2025,Pengguna Google,5,aplikasi bagus dan mudah
6/19/2025,Pengguna Google,5,makasih udah dikasih 4 usdt
6/19/2025,Pengguna Google,5,"Isi nickname @ r a f f a e l l 9 7 ,tanpa spasi,dapat bonus cuan,Sudah beberapa waktu pakai Pintu dan rasanya nyaman banget buat belajar investasi kripto. Desain aplikasinya sederhana tapi informatif, jadi mudah dimengerti meski masih pemula. Proses kirim dan tarik dana juga tanpa ribet. Layanan pelanggannya cepat tanggap setiap kali butuh bantuan. Fitur-fitur seperti Pintu Earn dan update seputar pasar bikin saya makin yakin buat terus belajar. Mantap,"
6/19/2025,Pengguna Google,5,sangat bagus
6/18/2025,Pengguna Google,5,mantap
6/18/2025,Pengguna Google,5,mantap aplikaainya
6/18/2025,Pengguna Google,5,mantap
6/18/2025,Pengguna Google,1,Jadi kripto ini semacam menguras uang apa investasi yg menguntungkan? Ngeri banget terkuras tiap hari uang
6/18/2025,Pengguna Google,5,pintu mantap
6/18/2025,Pengguna Google,4,ok
6/18/2025,Pengguna Google,5,mudah dioperasikan.
6/18/2025,Pengguna Google,5,Aplikasi OK mantap
6/18/2025,Pengguna Google,5,"Mantap. Simpel, mudah dipahami dan penggunaan juga gampang. tolong pertahankan... Terima kasih."
6/18/2025,Pengguna Google,5,mudah dan praktis
6/18/2025,Pengguna Google,5,keren cepet dan terpercaya
6/18/2025,Pengguna Google,5,"hideng fee atau spread nya 1,3% pantes aja pemula seperti saya langsung runkad"
6/18/2025,Pengguna Google,5,"Isi kode reff"" @ r a f f a e l l 9 7, tanpa spasi Overall, ini aplikasi yang cocok buat yang baru mau belajar kripto tapi tetap cukup kuat buat user yang udah lebih paham,Sebelumnya saya sempat coba beberapa aplikasi kripto, tapi antarmuka dan prosesnya ribet. Di Pintu, semuanya terasa lebih sederhana. Beli BTC atau ETH tinggal klik, transfer antar wallet juga cepet. Fitur yang paling saya suka adalah Pintu Earn—aset nganggur bisa tetap ngasih bunga tiap jam. Udah kayak nabung, tapi versi kripto"
6/18/2025,Pengguna Google,2,"kirim coin antar exchange lama banget,,sekitar 1 jam palingan,, coba kayak indodax cuma butuh waktu 10 menit aja"
6/18/2025,Pengguna Google,5,cs cepat dan sangat membantu
6/18/2025,Pengguna Google,5,bravo pintu:beli&investasi buat saya yang pemulah belajar ini sangat membantu untuk memahami dan cara trad n invest di pintu...sangat mudah dan bagus cara penyajian bagi pemulah yes🥰bravo pintu👍@lgme4
6/18/2025,Pengguna Google,4,Bagus... transaksi cepat
6/18/2025,Pengguna Google,2,aplikasi responnya lambat mau pindah aset aja susah
6/18/2025,Pengguna Google,5,trading crypro di pintu mengasikan proses cepat
6/18/2025,Pengguna Google,5,full mantap pintu
6/18/2025,Pengguna Google,5,mantap pintu sukses selalu
6/18/2025,Pengguna Google,1,"aplikasi rusak,ngebug. suka keluar keluar aplikasi sendiri"
6/18/2025,Pengguna Google,5,mantep poll
6/18/2025,Pengguna Google,5,pintu libih cepat
6/18/2025,Pengguna Google,5,"bagus ,trx cepat"
6/18/2025,Pengguna Google,5,"Isikan nickname 👉@ r a f f a e l l 9 7 ,tanpa spasi,dapat bonus cuan,Sudah beberapa waktu pakai Pintu dan rasanya nyaman banget buat belajar investasi kripto. Desain aplikasinya sederhana tapi informatif, jadi mudah dimengerti meski masih pemula. Proses kirim dan tarik dana juga tanpa ribet. Layanan pelanggannya cepat tanggap setiap kali butuh bantuan. Fitur-fitur seperti Pintu Earn dan update seputar pasar bikin saya makin yakin buat terus belajar. Mantap,"
6/18/2025,Pengguna Google,5,aplikasinya aman di awasi sma pemerintah jepang mantap 👍
6/18/2025,Pengguna Google,1,kenapa pintu gak real time waktu harga global.selalu terlambat.atau emang harga di seting oleh aplikasi.ada permainan harga.trim
6/18/2025,Pengguna Google,4,oke banget
6/18/2025,Pengguna Google,5,"ini adalah pengalaman pertamaku dalam investasi pada crypto, dan pengalaman ini aku menggunakan aplikasi trading crypto di pintu, sangat mudah dipahami dan sangat gampang dalam transaksi, bagi kamu pemula, aku menyarankan aplikasi ini ya guys, karena juga bisa belajar investasi crypto. @mu.nurilham861 #InvestasiCryptodiPintu"
6/18/2025,Pengguna Google,5,kalo buat ganti nomer tlp gmna ya soal'y yg lama dah gk aktif lg??
6/17/2025,Pengguna Google,5,👌
6/17/2025,Pengguna Google,5,mantap
6/17/2025,Pengguna Google,5,bagus
6/17/2025,Pengguna Google,1,bro saya udah lama pake pintu kok gini gw buka apk nya malah eror terus padahal jaringan bagus
6/17/2025,Pengguna Google,3,Belakangan ini sering sekali delay dalam pengiriman.
6/17/2025,Pengguna Google,3,"bintang 3 dulu,kenapa harus ada trading future di cex indo kalo hasilnya ga memuaskan jadi berat apk nya ,nglag parah udah aja fitur nya spot aja"
6/17/2025,Pengguna Google,1,aplikasi lemot
6/17/2025,Pengguna Google,5,kenapa sulit sekali buka apk ny. padahal jaringan kuat selalu jaringan tidak ada. tolong bug nya di perbaiki lagi
6/17/2025,Pengguna Google,5,mudah diakses
6/17/2025,Pengguna Google,1,exchange pintu masalah/kendala itu adalah di transfer aset. tolong di perbaiki lagi masalah nya ya kak soalnya kalau gini terus yg pakai exchange pintu gak akan nyaman.
6/17/2025,Pengguna Google,5,"sejauh ini pintu masih oke, coin selalu update, informasi tentang crypto juga update, oh iya masukin kode @nolep biar dapat promo seru"
6/17/2025,Pengguna Google,5,puas
6/17/2025,Pengguna Google,1,aplikasi tolol suka lag
6/17/2025,Pengguna Google,5,"beberapa hari saya pakai pintu,nyaman banget untuk belajar soal crypto dan desain aplikasinya juga simpel enak dipakai untuk pemula,terus juga banyak cara untuk belajar soal crypto di aplikasi pintu.ada fitur yang paling menarik menurut saya yaitu fitur pintu ""earn""disitu kalian seperti menabung akan mendapatkan bunga sesuai hari yang kalian pilih,pokoknya the best untuk aplikasi pintu jangan lupa pakai pintu @mhmdramacwaw552#InvestasiCryptodipintu"
6/17/2025,Pengguna Google,5,"market kalo gak naik ya turun, gitu aja masih rugi🤣, jangan lupa pakai Pintu aplikasi trading crypto. @sulkhanhasani560 #InvestasiCryptodiPintu"
6/17/2025,Pengguna Google,5,mantap
6/17/2025,Pengguna Google,5,penggunaan yang mudah
6/17/2025,Pengguna Google,5,Pintu : Aplikasi Investasi Terbaik No 1 Di Indonesia #InvestasiCryptodiPintu @cicindememotret408
6/17/2025,Pengguna Google,5,"baru belajar trading crypto, aplikasi nya mudah dipahami,ga nyesel download aplikasinya,lumayan menambah penghasilan @MURNIASIH #InvestasiCryptodiPintu"
6/17/2025,Pengguna Google,5,ok
6/17/2025,Pengguna Google,5,Terimakasih telah Bisa membuka Aplikasi pintu saya kembali
6/17/2025,Pengguna Google,4,"apk nya lemot banget, masa mau menjelajah ke pro sama web3 loading banget"
6/17/2025,Pengguna Google,4,klu memang benar apk ini terbukti membayar.maka ku kasih bintang 🌟🌟🌟🌟🌟
6/17/2025,Pengguna Google,5,"Overall, ini aplikasi yang cocok buat yang baru mau belajar kripto tapi tetap cukup kuat buat user yang udah lebih paham, Sebelumnya saya sempat coba beberapa aplikasi kripto, tapi antarmuka dan prosesnya ribet. Di Pintu, semuanya terasa lebih sederhana. Beli BTC atau ETH tinggal klik, transfer antar wallet juga cepet. Fitur yang paling saya suka adalah Pintu Earn-aset nganggur bisa tetap ngasih bunga tiap jam. Udah kayak nabung, tapi versi kripto.@rusmaherlina 5719 #InvestasiCryptodiPintu"
6/17/2025,Pengguna Google,4,masih nyoba
6/16/2025,Pengguna Google,5,bagus akurat mantap cuan
6/16/2025,Pengguna Google,5,ok
6/16/2025,Pengguna Google,1,aplikasi tidak jelas cs nya tidak ramah tidak mengajarkan orang yang baru terjun ke aplikasi ini
6/16/2025,Pengguna Google,5,josss👍👍
6/16/2025,Pengguna Google,3,"tingkatkan UI nya lebih praktis, simple, kompleks, dan mudah dimengerti🙏 dan juga ambil spread kecil saja, auto bintang 5👍😘"
6/16/2025,Pengguna Google,2,sekarang penarikan pengiriman menjadi sangat lambat
6/16/2025,Pengguna Google,5,luar biasa
6/16/2025,Pengguna Google,1,cs nya cuek banget
6/16/2025,Pengguna Google,1,"saran aja, sekarang banyak aplikasi sekuritas yang bagus, untuk aplikasi pintu secara fitur oke, tapi masih terlalu berat.. coba dibuat lebih ringan lagi aplikasinya, sekarang tuh bukan cuman sekedar fiturnya aja dicari, tapi juga kinerja aplikasinya kalo terlalu berat juga lebih baik pindah ke apps sebelah, kinerja aplikasi yang berat bakal berpengaruh banget ke pengguna.."
6/16/2025,Pengguna Google,5,ok
6/16/2025,Pengguna Google,3,baru kali ini malam ini 16/06/25. order spot pas naik.tp pembelian tidak tereksekusi..saldo ngambang hampir 2 jam dari pukul 9 malam ini.padahal pas LG profit order Zex di pintu ...aneh.tolong diperbaiki kecepatan buy tradingnya.
6/16/2025,Pengguna Google,5,untuk investasi Pintu token naekin dong gerakannya tolong. Plis min naekin investasi saya biar saya promosiin ketemen saya 🙏
6/16/2025,Pengguna Google,5,josss
6/16/2025,Pengguna Google,2,"sudah pakai 3 tahunan, sering lambat saat WD ke rekening atau transfer kripto ke dompet lain, itu buruk, tidak tau mereka melakukan apa sehingga sering terlambat. untuk aplikasinya simpel mudah dipakai tidak buruk,"
6/16/2025,Pengguna Google,5,cepet loading
6/16/2025,Pengguna Google,5,"masih pemula, sejauh ini belum ada kendala"
6/16/2025,Pengguna Google,4,kenapa kalo kita deposit selalu gagal yah. ini kenapa mas admin.
6/16/2025,Pengguna Google,5,good
6/16/2025,Pengguna Google,5,lumayan bagus
6/16/2025,Pengguna Google,5,bagus
6/16/2025,Pengguna Google,2,"jelek layanan transfer coin, ke walet, lambat"
6/16/2025,Pengguna Google,5,"sangat,, mamuaskan🤫😉"
6/16/2025,Pengguna Google,1,"halo admin, maaf sy kasih bintang 1, karena mau top up lewat bank mandiri kok gk ada? padahal bulan lalu masih ada? terimakasih sebelum nya."
6/16/2025,Pengguna Google,5,Aplikasi Pintu punya banyak fitur .Jual/beli crypto jadi gampang dan aman untuk bitcoin crypto wallet Sangat Menyenangkan.@ferdystrom1996#InvestasiCryptodiPintu
6/16/2025,Pengguna Google,5,"mohon dibantu, hp saya hilang beserta nomor dan email yang tertaut di aplikasi pintu. saya ingin mengakses kembali akun pintu saya di hp yang baru. mohon bantuannya"
6/16/2025,Pengguna Google,5,Aplikasi Pintu beneran punya banyak fitur lho. Jual/beli crypto jadi gampang dan aman untuk bitcoin crypto wallet @papahayra2025 #investasicryptodipintu
6/16/2025,Pengguna Google,5,"Jangan diragukan lagi, Pintu is the best"
6/15/2025,Pengguna Google,5,coba aja dulu yg penting amazink
6/15/2025,Pengguna Google,1,"baru pertama pakai udah dikasih pengalaman yang buruk, mau login aja susahnya minta ampun selalu muncul tulisan jaringan buruk, padahal jaringan ditempat saya bangus, dan lantaran login berulang kali malah dikira pakai perangkat baru padahal dari awal bikin akun menggunakan perangkat yang sama."
6/15/2025,Pengguna Google,5,good
6/15/2025,Pengguna Google,2,"Pintu sekarang lebih banyak kendala seperti ex sebelah, dimulai dari maintenance yang lama, sampai kendala di withdraw aset"
6/15/2025,Pengguna Google,5,the best
6/15/2025,Pengguna Google,1,sumpah baru gunain buat coba transaksi ternyata lelet banget.....masih recommended bitget
6/15/2025,Pengguna Google,5,mantap semoga sukses
6/15/2025,Pengguna Google,5,mantap
6/15/2025,Pengguna Google,5,"aplikasi yang sangat mudah dipahami ,untuk investasi crypto aman dan gampang @MUSTOFA MUJIB #investasicryptopintu"
6/15/2025,Pengguna Google,5,sangat baik
6/15/2025,Pengguna Google,5,apk ku kok nggak bisa di apdate ya padahal di plystore minta di apdate tp ndk bisa knp ya apa karena ada tanda !
6/15/2025,Pengguna Google,5,"Aplikasi yang sangat bisa diajak kerjasama untuk investasi , gak pernah nyesel douwnload aplikasi ini .. 🤗"
6/15/2025,Pengguna Google,5,Good
6/15/2025,Pengguna Google,4,"di tingkatkan lagi dong aplikasinya lambat banget buat di sentuh,tolong di percepat aplikasinya masak ukurannya kecil lemot banget ketika di pencet apa lagi lama banget muncul harganya ketika beli kripto"
6/15/2025,Pengguna Google,3,"apk nya berat, membuat saya kesusahan buat transaksi,blm lagi pemotongan saat deposit dan WD nya terlalu besar,untuk saat ini cuma bisa ngasih rate 3 🌟 buat dev nya,tlg di perbaiki lagi"
6/15/2025,Pengguna Google,4,kendala di aplikasi ini. 1. loadingnya lama 2. pergerakan market nya lambat 3. kadang tidak bisa loading (tidak ada koneksi internet) tolong secepatnya diperbaiki aplikasi nya
6/15/2025,Pengguna Google,4,ok
6/15/2025,Pengguna Google,5,platform pintu ini sangat sangat mudah di pahami untuk trader pemula untuk saran saya yang ingin me coba pertama kali trading crypto saya sarankan di pintu karna prosesnya mudah fitur-fiturnya lengkap dan yang terpenting customer servicenya terbaik ga salah pilih pintu buat trading semoga pintu makin berjaya di bidangnya sukses terus pintu & team terus pertahanan servicenya @ayudhafansa446 #investasicryptodipintu
6/15/2025,Pengguna Google,4,mantapppollllll
6/15/2025,Pengguna Google,1,"pengiriman slow, respon tidak membantu aneh"
6/15/2025,Pengguna Google,5,mantap
6/15/2025,Pengguna Google,5,excellent
6/15/2025,Pengguna Google,5,Mantap lebih mudah untuk dipahami dalam menjelajahi dunia crypto
6/15/2025,Pengguna Google,5,mudah dan cepat
6/15/2025,Pengguna Google,5,"Game yang mengasikkan, main game dapat Cripto dan bisa ditukarkan menjadi Cusn"
6/15/2025,Pengguna Google,1,kenapa sekarang jadi lelet ya mau kirim usdt aja lama terkirimnya sampe berjam jam
6/15/2025,Pengguna Google,5,"Gak cuma investasi, Pintu juga aplikasi trading crypto yang gampang banget digunakan lho. Pilihan aset crypto-nya banyak dan ada fitur Web3 Wallet juga. Jual beli Bitcoin, trading altcoin & explore Web3 jadi makin mudah & aman jual ke rupiah juga cepet banget jadi tunggu apa lagi buruan gaskeunn @MUHAJRIN AMIRUDDIN #InvestasiCryptodiPintu"
6/15/2025,Pengguna Google,1,"The delivery network is often improved, so when it is really needed, it becomes an obstacle, for example the current polygon network, which is very annoying"
6/14/2025,Pengguna Google,4,mantep banget
6/14/2025,Pengguna Google,1,"aplikasinya lemot banget,,tolong di upgrade biar ga lemot"
6/14/2025,Pengguna Google,5,nic e
6/14/2025,Pengguna Google,1,"fitur pronya berat bgt bikin stroke , mau open posisi aja susah bgt"
6/14/2025,Pengguna Google,5,dapet 70k dari daftar boiii
6/14/2025,Pengguna Google,2,aplikasi terlalu berat untuk di gunakan
6/14/2025,Pengguna Google,5,"Aplikasi terbaik dan ter the best di dunia si menurut aku @alfianpratamaputra9785 sih karena sangat mudah dan menyenangkan menggunakan pintu dan sangat banyak reward "" disetiap bulannya ,untuk kalian yang gk pakek pintu, buruan pakai pintu jangan sampai menyesal karena pintu adalah tempat keluar masuk uang kripto yang aman dan terpercaya @alfianpratamaputra9785 #InvestasiCryptodiPintu"
6/14/2025,Pengguna Google,5,mohon ikut web3 seperti bitget wallet dan DEXMEXC ATAU OKX DAN BINANCE WEB3 MEREKA BANYAK TOKEN BARU LISTING JADI LAH TERDEPAN DALAM SEMOGA PINTU DAPAT REZEKI BERLIMPAH DAN DEVELOPER MENAMBAH PITURE UNTUK WEB3 PINTU
6/14/2025,Pengguna Google,5,luar biasa
6/14/2025,Pengguna Google,5,ok
6/14/2025,Pengguna Google,5,"Aplikasi Pintu mempemudah pemahaman dan penggunaan wallet crypto, karna banyak fitur2 lengkap bersama panduannya , terumama untuk melihat perkembangan investasi bitcoin crypto , semoga menjadi aplikasi trading crypto terbaik di Indonesia. @vascho001854 #InvestasiCryptodiPintu"
6/14/2025,Pengguna Google,5,semoga aset btc ku ga hilang tolong tinggalkan lagi keamanan pintu nya Terima kasih
6/14/2025,Pengguna Google,5,sangat memuaskan
6/14/2025,Pengguna Google,5,"setelah update saya menemukan masalah, saat kita menggunakan tema gelap , deposito menggunakan qris tidak bisa di lakukan karna barcode nya tidak bisa ke baca , mohon di perbaiki,"
6/14/2025,Pengguna Google,1,aplikasi fake . penipuan . ngga tepat waktu pengiriman kripto . tunggu 10 menit tunggu 1 jam tunggu 1x24 jam . aplikasi Abal Abal didukung sama cs penipu yg profesional.
6/14/2025,Pengguna Google,5,mantp
6/14/2025,Pengguna Google,5,"aplikasi crypto yang sangat bagus,mudah dipahami untuk pemula,top up mudah dan mudah dalam penarikan,mari cari cuaan bersama di app pintu@zuuddevdan278"
